NLTT 58746
NLTT 58812
NLTT 239
NLTT 403
NLTT 525
NLTT 1036
NLTT 1412
NLTT 1645
NLTT 1806
NLTT 1945
NLTT 2056
NLTT 2144
NLTT 2205
NLTT 2324
NLTT 2425
NLTT 2484
NLTT 2963
NLTT 2989
NLTT 3116
NLTT 3252
HIP 5140
NLTT 3847
NLTT 4362
NLTT 4625
NLTT 4814
NLTT 5690
NLTT 5781
NLTT 6529
NLTT 7087
NLTT 7795
NLTT 7845
NLTT 8447
NLTT 8643
NLTT 8720
NLTT 8753
NLTT 8997
NLTT 9360
NLTT 9798
NLTT 9961
NLTT 10356
NLTT 10426
NLTT 10597
NLTT 10514
NLTT 10536
NLTT 10634
NLTT 10701
NLTT 10733
NLTT 10780
NLTT 10999
NLTT 11015
NLTT 11139
NLTT 11124
NLTT 11330
NLTT 11288
NLTT 11424
NLTT 11538
NLTT 11791
NLTT 12294
NLTT 12415
NLTT 12415
NLTT 12567
NLTT 12567
NLTT 12863
L 230-119
NLTT 13455
NLTT 13968
NLTT 14005
NLTT 14142
NLTT 14407
NLTT 14658
NLTT 14867
NLTT 14943
NLTT 15008
NLTT 15113
NLTT 15262
NLTT 15426
NLTT 15512
NLTT 15501
NLTT 15664
NLTT 15953
NLTT 15973
NLTT 16062
NLTT 16184
NLTT 16394
NLTT 16629
NLTT 16747
NLTT 16948
NLTT 17017
NLTT 17116
NLTT 17382
NLTT 17382
NLTT 17675
NLTT 17770
NLTT 17890
NLTT 17907
NLTT 17907
NLTT 18247
NLTT 18346
NLTT 18775
NLTT 18798
NLTT 19053
NLTT 18924
NLTT 19210
NLTT 19979
NLTT 20201
LP 726-29
NLTT 20892
NLTT 20979
NLTT 21061
NLTT 21351
NLTT 21914
NLTT 21999
NLTT 22230
NLTT 22301
NLTT 22525
NLTT 22726
HIP 49668
NLTT 23895
NLTT 23937
NLTT 24638
NLTT 25233
NLTT 25403
NLTT 25582
NLTT 25623
NLTT 26709
NLTT 27069
NLTT 27182
NLTT 28236
NLTT 28289
NLTT 28512
NLTT 29142
NLTT 29424
NLTT 29556
NLTT 29665
NLTT 29742
NLTT 29798
NLTT 29860
NLTT 29957
NLTT 30746
NLTT 30792
NLTT 30837
NLTT 31465
NLTT 31648
NLTT 31891
NLTT 31917
NLTT 32187
NLTT 32423
NLTT 33175
NLTT 33209
NLTT 33282
NLTT 33527
NLTT 34609
NLTT 35210
NLTT 35299
NLTT 35953
NLTT 35991
NLTT 36418
NLTT 36418
NLTT 36674
NLTT 37675
NLTT 37787
NLTT 37935
NLTT 37997
NLTT 38115
NLTT 38195
NLTT 39117
NLTT 39442
NLTT 39456
NLTT 39616
NLTT 39941
NLTT 40737
NLTT 40901
NLTT 41756
NLTT 42554
NLTT 42846
NLTT 42969
NLTT 43097
NLTT 43594
NLTT 44127
NLTT 44256
NLTT 44816
NLTT 45000
HIP 87533
HIP 88937
NLTT 46029
NLTT 46029
NLTT 46118
NLTT 46748
NLTT 46857
NLTT 47194
NLTT 47748
NLTT 47955
NLTT 47955
NLTT 47984
NLTT 48072
NLTT 48140
NLTT 48402
NLTT 48402
NLTT 48652
HIP 99029
NLTT 48832
NLTT 49312
NLTT 49486
NLTT 49474
NLTT 49562
NLTT 49624
NLTT 49746
NLTT 49819
NLTT 49903
NLTT 50559
NLTT 50761
NLTT 50824
NLTT 51353
NLTT 51353
NLTT 51459
NLTT 51479
NLTT 51479
NLTT 51780
NLTT 51964
NLTT 51992
NLTT 52131
NLTT 52532
NLTT 52648
NLTT 52786
NLTT 52864
NLTT 53061
NLTT 53254
LP 639-49
NLTT 53617
NLTT 54517
NLTT 54708
NLTT 55277
NLTT 55287
NLTT 55326
NLTT 55719
NLTT 55912
NLTT 55994
NLTT 56357
NLTT 56335
HIP 115012
NLTT 56856
NLTT 56926
NLTT 57220
NLTT 57259
NLTT 57309
NLTT 57558
NLTT 57749
NLTT 57823
NLTT 58235
NLTT 58594
